,w1,w2,predict,actual
87,กลัว,กระวนกระวาย,0.5021862,5.1
88,เป็นทางการ,เหมาะสม,0.1868874,4.9
89,น่าเบื่อ,เบื่อ,0.6818501,9.06
90,น่ารื่นรมย์,ร่าเริง,0.47034004,6.88
91,เศร้า,โกรธ,0.51696604,3.44
92,เศร้า,แย่,0.37057573,3.65
93,ป่วย,บ้า,0.2521195,1.56
94,รุนแรง,โกรธ,0.41567877,3.75
95,ภาระ,หนัก,0.35985318,3.02
96,สกปรก,ถูก,0.26471877,0.42
97,ยืดหยุ่น,ยืดหยุ่น,1.0,10.0
98,แข็ง,หนาแน่น,0.37605113,5.42
99,ล่าสุด,ใหม่,0.5161285,9.38
100,กล้าหาญ,ภูมิใจ,0.35436484,3.13
101,เจ้าเล่ห์,แปลก,0.3138589,0.1
102,แปลก,เจ้าเล่ห์,0.3138589,0.1
103,ทึ่ม,หายาก,0.3235173,0.0
104,เจ้าเล่ห์,กุ๊ย,0.37916863,0.42
105,ยอดเยี่ยม,บ้า,0.18783326,0.1
106,พอเหมาะ,ยืดหยุ่น,0.41413042,1.77
107,สดใหม่,กว้าง,0.24008967,0.0
108,ใหญ่,ทึ่ม,0.12585123,0.0
109,ใหญ่,ยืดหยุ่น,0.12980154,0.1
110,สกปรก,แคบ,0.22231361,0.83
111,ภรรยา,สามี,0.7808396,4.27
112,หนังสือ,ข้อความ,0.39945564,3.96
113,เจ้าบ่าว,เจ้าสาว,0.72232926,4.48
114,กลางคืน,กลางวัน,0.8163514,3.65
115,ทิศใต้,ทิศเหนือ,0.8972799,3.65
116,เครื่องบิน,สนามบิน,0.56929123,3.96
117,ลุง,ป้า,0.5078684,4.06
118,ม้า,แม่ม้า,0.6166041,4.27
119,ก้น ,จุดสูงสุด,0.2275212,0.83
120,เพื่อน,คู่หู,0.57818425,6.46
121,นักเรียน,นักเรียน,0.99999994,10.0
122,โลก,โลก,1.0,9.38
123,ขา,แขน,0.62823284,3.54
124,เครื่องบิน,เครื่องบินเจ็ต,0.9318257,6.15
125,สุภาพสตรี,สุภาพบุรุษ,0.5244596,3.23
126,ม้า,ม้าตัวผู้,0.42664474,5.31
127,นักแสดงหญิง,นักแสดงชาย,0.8908473,3.33
128,อาจารย์,ผู้สอน,0.5325609,8.65
129,หนัง,ฟิล์ม,0.4547253,5.42
130,นก,เหยี่ยว,0.6146272,5.94
131,คำ,พจนานุกรม,0.4529729,3.75
132,เงิน,เงินเดือน,0.51346403,5.63
133,หมา,แมว,0.49029225,3.13
134,พื้นที่,ภูมิภาค,0.4132971,5.1
135,กองทัพเรือ,กองทัพบก,0.6284688,4.58
136,หนังสือ,วรรณกรรม,0.56488746,5.31
137,เสื้อผ้า,ตู้เสื้อผ้า,0.7810823,4.27
138,พระอาทิตย์ตก,พระอาทิตย์ขึ้น,0.9526243,3.54
139,เด็ก,ผู้ใหญ่,0.56155777,3.96
140,วัว,ปศุสัตว์,0.45964584,3.54
141,หนังสือ,เรื่องราว,0.412792,3.33
142,ฤดูหนาว,ฤดูร้อน,0.76355153,3.44
143,แท็กซี่,แท็กซี่,1.0000001,10.0
144,ต้นไม้,ต้นเมเปิล,0.36920053,6.67
145,เตียง,ห้องนอน,0.45711815,4.17
146,หลังคา,เพดาน,0.5058016,4.9
147,โรค,การติดเชื้อ,0.6549209,5.73
148,แขน,ไหล่,0.6500651,4.06
149,แกะ,ลูกแกะ,0.5825732,5.73
150,สตรี,บุรุษ,0.5848468,3.13
151,เรือ,สมอ,0.21838522,3.54
152,นักบวช,พระ,0.3312965,6.35
153,นิ้วเท้า,นิ้วมือ,0.7302294,3.44
154,แม่น้ำ,สายน้ำ,0.5732358,6.46
155,โกรธ,โกรธ,1.0000001,10.0
156,วันที่,ปฏิทิน,0.30341116,3.96
157,ทะเล,มหาสมุทร,0.58603305,8.02
158,วินาที,นาที,0.69317067,4.27
159,มือ,หัวแม่มือ,0.5208944,3.65
160,ป่าไม้,ซุง,0.12751429,3.23
161,โคลน,ดิน,0.44730982,5.63
162,ห้องโถง,ทางเดิน,0.4144066,3.33
163,ทาง,มารยาท,0.18276353,0.21
164,หนู,แมว,0.42699635,2.5
165,ตำรวจ,นายอำเภอ,0.46139717,3.23
166,ความตาย,พิธีฝังศพ,0.33054504,3.54
167,เพลง,ทำนอง,0.5428413,3.75
168,เบียร์,แอลกอฮอล์,0.42174193,5.21
169,ปาก,ริมฝีปาก,0.6152256,5.94
170,พายุ,พายุเฮอริเคน,0.8027072,7.19
171,ภาษี,รายได้,0.41753727,2.81
172,ดอกไม้,สีม่วง,0.3797004,0.52
173,กระดาษ,กระดาษแข็ง,0.81646824,6.15
174,ชั้น,เพดาน,0.28467727,1.35
175,ชายหาด,ชายทะเล,0.5791785,8.13
176,ไม้เรียว,ผ้าม่าน,0.32390144,0.0
177,สุนัข,สุนัขจิ้งจอก,0.65665233,5.63
178,ถนน,ตรอก,0.48933128,4.38
179,เรือ,ดาดฟ้าเรือ,0.7283035,3.44
180,รถยนต์,แตรรถยนต์,0.8185144,3.54
181,เพื่อน,แขก,0.30929026,1.46
182,นายจ้าง,ลูกจ้าง,0.60508496,3.02
183,มือ,ข้อมือ,0.51240784,3.75
184,ลูกบอล,ปืนใหญ่,0.2785985,0.21
185,แอลกอฮอล์,บรั่นดี,0.41866994,5.52
186,ชัยชนะ,ชัยชนะ,1.0,10.0
187,โทรศัพท์,บูธ,0.28770113,0.1
188,ประตู,ทางเข้าประตู,0.72369903,4.58
189,โรงแรมม่านรูด,โรงแรม,0.766783,6.15
190,เสื้อผ้า,ผ้า,0.5726256,4.38
191,สเต็ก,เนื้อสัตว์,0.43884397,4.27
192,เล็บ,หัวแม่มือ,0.5926655,3.02
193,วงดนตรี,วงออเคสตรา,0.6226145,6.35
194,หนังสือ,ไบเบิล,0.4504908,5.1
195,ธุรกิจ,อุตสาหกรรม,0.5988368,4.58
196,ฤดูหนาว,ฤดูกาล,0.3102052,5.52
197,ทศวรรษ,ศตวรรษ,0.5746856,5.21
198,แอลกอฮอล์,จิน,0.14315785,3.54
199,หมวก,เสื้อโค้ท,0.6283768,2.81
200,หน้าต่าง,ประตู,0.46511057,2.92
201,แขน,ข้อมือ,0.6496511,3.13
202,บ้าน,อพาร์ทเม้น,0.4571996,4.27
203,กระจก,คริสตัล,0.3547756,1.25
204,ไวน์,บรั่นดี,0.4460094,4.79
205,ผู้สร้าง,ผู้สร้าง,1.0000001,10.0
206,อาหารค่ำ,อาหารเช้า,0.7343049,3.23
207,แขน,กล้ามเนื้อ,0.504836,3.02
208,ฟอง,น้ำสบู่,0.30797884,2.92
209,ขนมปัง,แป้ง,0.5887889,3.96
210,ความตาย,โศกนาฏกรรม,0.46497765,4.9
211,ขาดแคลน,การมีอยู่,0.25342295,1.04
212,ปืน,ปืนใหญ่,0.75217,6.15
213,หญ้า,ใบมีด,0.40018955,0.63
214,ลูกบอล,ตะกร้า,0.38173866,0.52
215,ท่อ,สวน,0.24457304,0.1
216,เด็กผู้ชาย,เด็ก,0.64884937,6.35
217,โบสถ์,คณะประสานเสียง,0.36984566,1.88
218,เสื้อผ้า,ลิ้นชัก,0.3024394,1.46
219,หอคอย,ระฆัง,0.34613734,2.08
220,บิดา,ผู้ปกครอง,0.38233352,6.35
221,โรงเรียน,เกรด,0.24496134,2.92
222,ผู้ปกครอง,ผู้ใหญ่,0.31380838,4.69
223,บาร์,คุก,0.24104036,0.42
224,รถยนต์,ทางหลวง,0.30044928,3.23
225,พจนานุกรม,คำนิยาม,0.39314646,3.75
226,ประตู,ห้องใต้ดิน,0.34642965,1.25
227,กองทัพบก,กองทหาร,0.46982712,4.69
228,โลหะ,อลูมิเนียม,0.68697596,4.69
229,เก้าอี้,ม้านั่ง,0.5973658,6.56
230,เมฆ,หมอก,0.50280505,5.63
231,เด็กผู้ชาย,บุตรชาย,0.2518431,5.31
232,น้ำ,น้ำแข็ง,0.47610638,4.9
233,เตียง,ผ้าห่ม,0.3713867,3.13
234,อัยการ,ทนายความ,0.56919444,4.48
235,พื้นที่,โซน,0.2750248,6.46
236,ธุรกิจ,บริษัท,0.58906126,4.79
237,เสื้อผ้า,ผ้า,0.5726256,4.17
238,เสื้อกันหนาว,แจ็คเก็ต,0.5610888,6.35
239,เงิน,เงินทุน,0.5563715,6.04
240,มือ,เท้า,0.46132705,3.23
241,แอลกอฮอล์,ค็อกเทล,0.3495391,5.42
242,หลา,นิ้ว,0.2814099,3.33
243,โมเลกุล,อะตอม,0.72306806,4.69
244,เลนส์,กล้องถ่ายรูป,0.5943202,3.85
245,อาหาร,อาหารเย็น,0.6445072,5.73
246,ตา,น้ำตา,0.31013545,3.85
247,พระเจ้า,ปีศาจ,0.21367499,1.35
248,ห่วง,เข็มขัด,0.28889006,0.63
249,หนู,หนู,1.0000001,10.0
250,เครื่องยนต์,เครื่องยนต์,0.99999994,10.0
251,รถ,แท็กซี่,0.49021533,6.56
252,แมว,สิงโต,0.47166187,3.96
253,ขนาด,ขนาด,1.0000001,10.0
254,ความจริง,จินตนาการ,0.46819228,1.25
255,ประตู,ประตู,0.9999999,10.0
256,แมว,สัตว์เลี้ยง,0.53248775,5.42
257,ดีบุก,อลูมิเนียม,0.5567038,3.54
258,กระดูก,กราม,0.55236477,3.75
259,ธัญพืช,ข้าวสาลี,0.7251391,5.42
260,บ้าน,กุญแจ,0.22765179,2.71
261,เลือด,เนื้อ,0.3762342,2.71
262,ประตู,ทางเดิน,0.30392787,1.56
263,พระเจ้า,วิญญาณ,0.29711992,1.15
264,สมรรถภาพ,สมรรถภาพ,1.0000001,10.0
265,ความอุดมสมบูรณ์,ความอุดมสมบูรณ์,0.9999999,10.0
266,โซฟา,เก้าอี้,0.45812827,5.63
267,ผนัง,อิฐ,0.46490473,3.02
268,เขา,กลอง,0.23969269,0.0
269,อวัยวะ,ตับ,0.48986894,5.1
270,ความแข็งแรง,ความแข็งแรง,1.0,9.38
271,วลี,คำ,0.49376503,6.98
272,วงดนตรี,ขบวนแห่,0.25774622,2.81
273,ท้อง,เอว,0.39111617,3.65
274,เมฆ,พายุ,0.29786736,2.81
275,ความปิติยินดี,ความภาคภูมิใจ,0.5799914,6.04
276,สัญญาณรบกวน,เสียงอึกทึก,0.4412018,3.13
277,ฝน,หมอก,0.5280494,3.33
278,เบียร์,เครื่องดื่ม,0.55989176,5.42
279,ผู้ชาย,ลุง,0.2870688,4.38
280,แอปเปิ้ล,น้ำผลไม้,0.48465073,4.06
281,ชาญฉลาด,ตรรกะ,0.36671546,3.96
282,การสื่อสาร,ภาษา,0.34154838,5.83
283,ขนมิงค์,ขนสัตว์,0.39519888,6.04
284,ฝูงชน,ฝูงชน,1.0,9.58
285,ฝั่งทะเล,ชายฝั่ง,0.790187,6.56
286,ลวด,เชือก,0.42573032,4.27
287,นก,ไก่งวง,0.44373986,4.38
288,เตียง,เปล,0.28841865,4.69
289,ความสามารถ,ความสามารถ,1.0,10.0
290,เมฆ,หมอก,0.50280505,4.79
291,อาหารมื้อเย็น,อาหาร,0.75210565,6.15
292,บาร์,กรง,0.20259102,0.1
293,น้ำ,เกลือ,0.5449338,0.63
294,ความรู้สึก,สัญชาตญาณ,0.45170918,6.15
295,สถานการณ์,เงื่อนไข,0.3719894,2.5
296,อาชญากรรม,โจรกรรม,0.5001041,5.0
297,สไตล์,แฟชั่น,0.5170111,5.21
298,เขตแดน,ชายแดน,0.57031924,5.73
299,แขน,ร่างกาย,0.44149947,4.38
300,เรือ,รถ,0.36451963,3.02
301,แซนด์วิช,อาหารกลางวัน,0.27694538,3.23
302,เจ้าสาว,เจ้าหญิง,0.49702847,1.77
303,นางเอก,พระเอก,0.8362986,3.02
304,รถ,วัด,0.15140547,0.1
305,แมลง,ผึ้ง,0.501451,5.31
306,เปล,เปล,1.0000001,9.9
307,สัตว์,คน,0.15108107,3.13
308,กัญชา,สมุนไพร,0.42934597,5.21
309,เตียง,โรงพยาบาล,0.47336444,2.29
310,แก้ม,ลิ้น,0.47407115,2.71
311,แผ่นดิสก์,คอมพิวเตอร์,0.34217227,3.02
312,เส้นโค้ง,มุม,0.45433852,2.19
313,หญ้า,ตะไคร่น้ำ,0.49475992,1.98
314,โรงเรียน,กฎหมาย,0.19903558,0.63
315,เท้า,หัว,0.31782585,2.29
316,แม่,ผู้ปกครอง,0.18715931,5.73
317,ทันตแพทย์,ทันตแพทย์,1.0,10.0
318,เหล้า,วิสกี้,0.5569769,6.04
319,ปาก,ฟัน,0.37751922,3.96
320,อาหารเช้า,เบคอน,0.3554941,3.23
321,ห้องน้ำ,ห้องนอน,0.76791954,3.13
322,จาน,ชาม,0.408354,5.21
323,เนื้อ,เบคอน,0.2936534,5.0
324,อากาศ,ฮีเลียม,0.33934495,4.06
325,คนงาน,ลูกจ้าง,0.62250596,7.29
326,ร่างกาย,หน้าอก,0.4772986,3.54
327,ลูกชาย,พ่อ,0.696514,2.6
328,หัวใจ,ศัลยกรรม,0.35719693,0.83
329,ผู้หญิง,เลขานุการ,0.13889445,1.15
330,ผู้ชาย,พ่อ,0.36787155,3.44
331,ชายหาด,เกาะ,0.44808114,2.92
332,เรื่องราว,หัวข้อ,0.34268066,2.5
333,เกมส์,ความสนุกสนาน,0.263761,3.23
334,วันสุดสัปดาห์,สัปดาห์,0.62522763,3.33
335,คู่สามีภรรยา,คู่,0.40927422,4.58
336,ผู้หญิง,ภรรยา,0.42124352,3.44
337,แกะ,ปศุสัตว์,0.44929284,3.65
338,กระเป๋าเหรียญ,กระเป๋า,0.80626523,6.04
339,เพดาน,โบสถ์,0.41328314,1.04
340,ถั่ว,กาแฟ,0.48283386,0.94
341,ไม้,กระดาษ,0.3968592,2.4
342,ด้านบน,ด้านข้าง,0.676167,3.23
343,อาชญากรรม,หลอกลวง,0.43981215,3.33
344,เจ็บปวด,เสียหาย,0.2843173,2.6
345,คนรัก,สหาย,0.48888472,3.85
346,ตอนเย็น,พลบค่ำ,0.669412,6.88
347,พ่อ,ลูกสาว,0.6492582,2.81
348,ไวน์,สุรา,0.28128448,5.31
349,วัว,แพะ,0.63809985,3.33
350,ความเชื่อ,ความเห็น,0.43437472,2.4
351,ความจริง,ภาพมายา,0.51508147,1.67
352,ข้อสัญญา,ข้อตกลง,0.65087545,7.4
353,ความมั่งคั่ง,ความยากจน,0.5067971,2.19
354,อุบัติเหตุ,ภาวะฉุกเฉิน,0.3806689,4.17
355,การต่อสู้,ชัยชนะ,0.4246165,2.92
356,เพื่อน,ครู,0.3707423,1.04
357,ความเจ็บป่วย,การติดเชื้อ,0.5820032,5.0
358,เกมส์,เคล็ดลับ,0.18128397,1.25
359,พี่ชาย,บุตรชาย,0.72567594,2.6
360,ป้า,หลานชาย,0.38847244,2.71
361,พี่ชาย,บุตรชาย,0.72567594,2.5
362,ป้า,หลานชาย,0.38847244,2.71
363,โอ๊ก,เมเปิ้ล,0.34627995,3.75
364,ผึ้ง,ราชินี,0.26333946,1.98
365,รถยนต์,จักรยาน,0.48649597,4.27
366,เป้าหมาย,การแสวงหา,0.42969596,3.44
367,สิงหาคม,เดือน,0.59957415,5.0
368,กองทัพบก,กลุ่มทหาร,0.3953539,4.17
369,ก้อนเมฆ,สภาพอากาศ,0.28025568,3.54
370,แพทย์,คุณหมอ,0.43184778,8.85
371,หุบเขาลึก,หุบเขา,0.8814503,8.23
372,แม่น้ำ,หุบเขา,0.58296335,2.08
373,ดวงอาทิตย์,ท้องฟ้า,0.61400956,3.23
374,เป้า,ลูกศร,0.2339817,2.6
375,ช็อคโกแลต,พาย,0.41140956,2.4
376,สภาวะแวดล้อม,สถานการณ์,0.5212904,2.5
377,ความเห็น,ตัวเลือก,0.26209405,2.6
378,จังหวะ,ทำนอง,0.51874053,5.63
379,ไส้พุง,เส้นประสาท,0.41868034,1.88
380,วัน,รุ่งอรุณ,0.244843,1.77
381,ปศุสัตว์,เนื้อวัว,0.523652,3.13
382,คุณหมอ,ศาสตราจารย์,0.37197053,3.33
383,แขน,หลอดเลือดดำ,0.37613744,1.88
384,ห้อง,อ่างอาบน้ำ,0.3444659,1.04
385,บริษัท,ธุรกิจ,0.58906126,4.27
386,ความสนุกสนาน,ฟุตบอล,0.17016219,2.19
387,เนินเขา,หน้าผา,0.579556,2.92
388,กระดูก,ข้อเท้า,0.49861893,2.71
389,แอปเปิ้ล,ลูกอม,0.38690627,1.35
390,ผู้ช่วยเหลือ,แม่บ้าน,0.40095457,2.19
391,ผู้นำ,ผู้จัดการ,0.3881569,3.96
392,มะนาว,ชา,0.23733075,1.88
393,ผึ้ง,มด,0.38952515,3.13
394,บาสเกตบอล,เบสบอล,0.6790022,4.38
395,ข้าว,ถั่ว,0.57894564,1.88
396,เตียง,เฟอร์นิเจอร์,0.31499934,4.58
397,อารมณ์,ความหลงใหล,0.5611298,4.27
398,อนาธิปไตย,ความสับสนวุ่นวาย,0.43200722,3.13
399,อาชญากรรม,การละเมิด,0.47498992,3.23
400,เครื่องจักร,เครื่องยนต์,0.45824987,5.73
401,ชายหาด,ทะเล,0.43610752,4.17
402,ซอย,ชาม,0.14119895,0.1
403,โถ,ขวด,0.27306682,2.81
404,ความแข็งแรง,สมรรถภาพ,0.44032538,3.96
405,เมล็ด,มัสตาด,0.45463726,0.42
406,กีตาร์,กลอง,0.64106536,3.96
407,ความคิดเห็น,ความคิด,0.54607046,5.94
408,ทิศเหนือ,ทิศตะวันตก,0.91754675,4.79
409,อาหาร,สลัด,0.42440656,4.27
410,แม่,ภรรยา,0.42991665,4.79
411,พ่อ,แม่,0.6378819,3.54
412,กัปตัน,กะลาสี,0.354618,3.96
413,เมตร,หลา,0.35364735,3.75
414,เบียร์,แชมเปญ,0.30324805,5.1
415,มอเตอร์,เรือ,0.23887217,2.6
416,บัตร,สะพาน,0.09417122,0.1
417,วิทยาศาสตร์,จิตวิทยา,0.49163818,3.02
418,คนบาป,นักบุญ,0.38646626,2.08
419,การทำลาย,การก่อสร้าง,0.4966595,1.56
420,ฝูงชน,พวง,0.09771769,0.83
421,ชายหาด,โขดหิน,0.5185208,2.5
422,ชาย,เด็ก,0.30916888,1.46
423,ขนมปัง,ชีส,0.49177518,2.4
424,แชมป์,ผู้ชนะ,0.5441422,8.54
425,งานเฉลิมฉลอง,พิธี,0.5591855,6.25
426,เมนู,คำสั่งซื้อ,0.30074674,3.54
427,กษัตริย์,เจ้าหญิง,0.4799728,3.33
428,ความมั่งคั่ง,ศักดิ์ศรี,0.3572035,2.29
429,ความอดทน,ความแข็งแรง,0.4443788,3.44
430,อันตราย,การคุกคาม,0.5380883,5.1
431,พระเจ้า,นักบวช,0.29308912,2.71
432,ผู้ชาย,พี่น้องชาย,0.30758035,3.44
433,เพื่อน,สหาย,0.52565795,8.02
434,ครู,ผู้ช่วย,0.33800402,2.6
435,ร่างกาย,กระเพาะอาหาร,0.5581325,2.81
436,ลิ้น,ช่องคอ,0.52221775,2.71
437,บ้าน,พรม,0.32113826,2.6
438,สติปัญญา,ความสามารถ,0.5469516,5.0
439,การเดินทาง,ชัยชนะ,0.24950734,0.31
440,พระเจ้า,เหยื่อ,0.13567859,0.0
441,พี่น้องชาย,จิตวิญญาณ,0.17789091,0.52
442,ฝ่ายตรงข้าม,คู่ต่อสู้,0.62053156,8.44
443,ความตาย,ภัยพิบัติ,0.34978595,3.13
444,สัตว์ประหลาด,ปิศาจ,0.5556037,6.15
445,วัน,ตอนเช้า,0.4589115,1.88
446,ผู้ชาย,ผู้ชนะ,0.27239648,0.21
447,เพื่อน,ผู้ชาย,0.4259709,1.04
448,เพลง,เรื่องราว,0.31311253,2.4
449,รังสี,แดด,0.29924235,3.85
450,ผู้ชาย,แกน,0.09479775,0.0
451,ไก่,ข้าว,0.48352224,1.88
452,กล่อง,ลิฟต์,0.2959104,1.25
453,เนย,มันฝรั่ง,0.44131583,1.98
454,อพาร์ทเม้น,เฟอร์นิเจอร์,0.39107275,1.98
455,ทะเลสาบ,บึง,0.43038023,5.73
456,สลัด,น้ำส้มสายชู,0.4823076,1.88
457,ดอกไม้,กระเปาะ,0.24061024,1.35
458,เมฆ,หมอก,0.50280505,4.79
459,คนขับรถ,นักบิน,0.41000825,3.44
460,น้ำตาล,น้ำผึ้ง,0.50168866,3.54
461,ร่างกาย,ไหล่,0.4064967,3.75
462,ความคิด,ภาพ,0.33087656,1.67
463,พ่อ,พี่ชาย,0.6611671,2.5
464,ดวงจันทร์,ดาวเคราะห์,0.60754967,4.38
465,งานรื่นเริง,ชุดแต่งกาย,0.3763634,1.88
466,ราง,รั้ว,0.24058974,1.15
467,ห้อง,เตียง,0.39393327,2.29
468,ดอกไม้,พุ่มไม้,0.41005847,4.27
469,กระดูก,เข่า,0.4371973,2.81
470,แขน,เข่า,0.5878576,2.71
471,ด้านล่าง,ด้านข้าง,0.54409087,3.44
472,ท่อ,เส้นเลือดดำ,0.54677707,0.94
473,แมว,กระต่าย,0.501624,2.71
474,เนื้อสัตว์,แซนด์วิช,0.3901615,1.88
475,ความเชื่อ,แนวคิด,0.542868,4.38
476,สติปัญญา,ข้อมูลเชิงลึก,0.30669722,2.4
477,ความสนใจ,ดอกเบี้ย,0.13198763,0.1
478,ทัศนคติ,ความมั่นใจ,0.5079942,1.77
479,ถูกต้อง,ความยุติธรรม,0.3494397,5.94
480,ข้อโต้แย้ง,ข้อตกลง,0.36434132,2.19
481,ความลึก,ขนาด,0.49325764,2.92
482,สื่อกลาง,ข่าว,0.28936103,3.65
483,ผู้ชนะ,ผู้สมัคร,0.37561446,1.35
484,วันเกิด,วันที่,0.39334002,2.5
485,ค่าธรรมเนียม,การชำระเงิน,0.66806054,3.44
486,คัมภีร์ไบเบิล,เพลงสวด,0.45296693,2.29
487,ทางออก,ทางเข้าประตู,0.37869313,3.33
488,ผู้ชาย,ทหารยาม,0.33313784,1.67
489,ทางเดินระหว่างที่นั่ง,ห้องโถง,0.5382717,2.29
490,วิสกี้,เหล้าจิน,0.5390381,4.17
491,เลือด,ไขกระดูก,0.56869644,2.29
492,น้ำมัน,ตัวมิงค์,0.30047938,0.31
493,พื้น,ดาดฟ้า,0.38150305,1.25
494,หลังคา,พื้น,0.39917332,1.77
495,ประตู,พื้น,0.19305822,1.56
496,ไหล่,ศีรษะ,0.5573331,2.71
497,ตู้สินค้ารถไฟ,การขนส่ง,0.48532996,3.02
498,รถยนต์,การขนส่ง,0.36778656,3.23
499,ศอก,ข้อเท้า,0.37040234,2.4
500,ความมั่งคั่ง,ชื่อเสียง,0.40881523,3.65
501,ความเศร้าโศก,ความอัปยศ,0.564799,3.65
502,การบริหาร,การจัดการ,0.605368,7.19
503,การสื่อสาร,การสนทนา,0.5600377,7.92
504,มลพิษ,บรรยากาศ,0.34406474,3.13
505,กายวิภาคศาสตร์,ชีววิทยา,0.632834,3.85
506,วิทยาลัย,อาชีพ,0.32202044,1.56
507,หนังสือ,หัวข้อเรื่อง,0.4653501,2.29
508,สูตร,สมการ,0.42622796,6.56
509,หนังสือ,สารสนเทศ,0.24079445,3.75
510,เด็กผู้ชาย,หุ้นส่วน,0.10781273,0.1
511,ท้องฟ้า,จักรวาล,0.3939939,3.54
512,ประชากร,คน,0.42737362,5.94
513,วิทยาลัย,ชั้นเรียน,0.3871251,3.33
